path,sha256,audience,authority,canonical_for_substance,review_rule
21_WIKI_DOCUMENTACION_HUMANA/Bitacora_Capitan/Actualizacion_Bitacora_Capitan_Cierre_Constitucional_v0_4_4.md,bcf0b3fcc330175d4f2b98abcd5a5e16f52db5e2efac0fbe45c72034c0904906,historia,derived_human_navigation,no,must_reference_canonical_source
21_WIKI_DOCUMENTACION_HUMANA/Bitacora_Capitan/Actualizacion_Bitacora_Capitan_Mapa_Gates_SDD_Ruta_v1_0_0_AI_StoryLab_1_v0_4_5.md,7899edf98e665281ee53fc9d7a23b3e4a41b22c9798f5390fa3ae74ef59438ce,historia,derived_human_navigation,no,must_reference_canonical_source
21_WIKI_DOCUMENTACION_HUMANA/Bitacora_Capitan/Actualizacion_Bitacora_Capitan_Modelo_Evolutivo_Specs_por_Gates_AI_StoryLab_1_v0_4_5.md,f9c333c519838b2e613ca0e663aa6ffc9c7b66e032c5ab0a61d6cf639387618f,historia,derived_human_navigation,no,must_reference_canonical_source
21_WIKI_DOCUMENTACION_HUMANA/Bitacora_Capitan/Bitacora_Capitan_AI_StoryLab_1_v0_4_3.md,c5849f96982cf6641fc7b64b7b1803f975754e72fcf5de5feaf7a24c8c4af63f,historia,derived_human_navigation,no,must_reference_canonical_source
21_WIKI_DOCUMENTACION_HUMANA/Bitacora_Capitan/Bitacora_Capitan_AI_StoryLab_1_v0_4_4.md,8099648f60be299ffdb8591a8441d99688471e37f2d6f747ca8eda0f3ac057d0,historia,derived_human_navigation,no,must_reference_canonical_source
21_WIKI_DOCUMENTACION_HUMANA/Bitacora_Capitan/Cierre_Bitacora_Capitan_PR12_Arquitectura_Conceptual_AI_StoryLab.md,107c76b79854355c77e2cbc65d0ba3786b073d77bca155f0ffee00f7d2fca988,historia,derived_human_navigation,no,must_reference_canonical_source
21_WIKI_DOCUMENTACION_HUMANA/Bitacora_Capitan/Cierre_Bitacora_Capitan_Specs_Nucleo_AI_StoryLab.md,f4bf1cb5a9762e5b942b5885ef2d93b1d3fe48e7b9c803a84a1dca14563e0836,historia,derived_human_navigation,no,must_reference_canonical_source
21_WIKI_DOCUMENTACION_HUMANA/Bitacora_Capitan/README.md,6c79e48314602d2cab0f9d960d8ede503d76b288d8da56412ccf3628ec1d8166,historia,derived_human_navigation,no,must_reference_canonical_source
21_WIKI_DOCUMENTACION_HUMANA/Desarrollo_Aplicacion/Desarrollo_Primera_Aplicacion_AI_StoryLab_1_v0_4_3.md,15be41e8c4e5929ed1227aad30dfa158e21842fd471ba24ac00c10a7f58bc73b,desarrollador,derived_human_navigation,no,must_reference_canonical_source
21_WIKI_DOCUMENTACION_HUMANA/Desarrollo_Aplicacion/README.md,51d33d1db4e9c9099b9d9cbe4483418bcc4a043835d130a3d9eeeb620d9e6606,desarrollador,derived_human_navigation,no,must_reference_canonical_source
