path,sha256,classification,reviewed_individually,canonical,active_spec,successor_or_authority,decision
.specify/README.md,905ed93981c21d5910d34aa62cfa98f25602dd9b4e56583e9e34e1fa566ba346,workspace_scaffold_placeholder,yes,no,no,none_declared,retain_noncanonical
.specify/memory/README.md,11273e169fef99f4a1163c90661274b7c0cba481374c99de5bd70d11c0ec95b3,workspace_scaffold_placeholder,yes,no,no,none_declared,retain_noncanonical
.specify/memory/constitution_v0_4_0.md,4b0677bccd45627f499b1ab212538ec630ee05c0e694191903bb34c400294061,historical_seed,yes,no,no,DOC-SDD-001,retain_noncanonical
.specify/specs/Facilitator_Dashboard/README.md,3b7c05ba0bd78fbc96c83d0a25e9e99110666adabb704e090abb1b8875a353f0,workspace_scaffold_placeholder,yes,no,no,none_declared,retain_noncanonical
.specify/specs/Mission_Engine/README.md,587f2b11981837da943b2439e6097a6901c53c4741c99491f2a91dfc1c12c282,workspace_scaffold_placeholder,yes,no,no,none_declared,retain_noncanonical
.specify/specs/Platform_Foundation/README.md,659e4d2a9df52838a43e5e7e2523b08b4902b876f09ace5841d5b3e8d6d7a9b3,workspace_scaffold_placeholder,yes,no,no,none_declared,retain_noncanonical
.specify/specs/Platform_Foundation/trace_v0_4_0.md,748594819ea52b148d296a9c830eb291087a8b640a6680e8aef2a9f39166ff2a,historical_trace_seed,yes,no,no,none_declared,retain_noncanonical
.specify/specs/Portfolio_Export/README.md,102a224f041706d44f0d8b45a799dea75cf080b6642675c79ce616d0c1e62104,workspace_scaffold_placeholder,yes,no,no,none_declared,retain_noncanonical
.specify/specs/Profile_Progress_JSON/README.md,436c27366e5fe7f72daf5bcad2a7ee5d778ef8e64fb28bb1b51240e6843d52cc,workspace_scaffold_placeholder,yes,no,no,none_declared,retain_noncanonical
.specify/specs/README.md,faf988025ad5be38e8d7e493b98a6d221a72be7263bb294e1411207cd9e0b3ee,workspace_scaffold_placeholder,yes,no,no,none_declared,retain_noncanonical
.specify/specs/Security_Privacy_Baseline/README.md,883b50233de86ea5a6a8f92b056ff16466c036036a167d628dac61f67f94535e,workspace_scaffold_placeholder,yes,no,no,none_declared,retain_noncanonical
